tahun,peng,Cluster
-1.7900997399991592,-1.2641942915567632,1
-1.5616852461479167,-1.1805688119527677,1
-1.3332707522966742,-1.0790845718029665,1
-1.1048562584454318,-0.9787481670859842,1
-0.8764417645941894,-0.8644924863950941,1
-0.648027270742947,-0.8000790794830056,1
-0.41961277689170456,-0.7590581335675358,1
-0.19119828304046216,-0.6516469530501224,1
0.03721621081078026,-0.5557956090058223,0
0.26563070466202265,-0.49516226507773986,0
0.4940451985132651,-0.20501851781709013,0
0.7224596923645075,-0.16071348719105458,0
0.9508741862157499,-0.11075076154584593,0
1.1792886800669924,0.05287955626603077,0
1.4077031739182349,0.16267851789986412,0
1.636117667769477,0.28889081768261976,0
-1.7900997399991592,-1.5968221206395319,1
-1.5616852461479167,-1.557065919321335,1
-1.3332707522966742,-1.5240798214355986,1
-1.1048562584454318,-1.4604493516551553,1
-0.8764417645941894,-1.365079815076483,1
-0.648027270742947,-1.3673294308167303,1
-0.41961277689170456,-1.349796598850614,1
-0.19119828304046216,-1.2630358280180847,1
0.03721621081078026,-1.0338938656886445,1
0.26563070466202265,-0.9890928567891686,0
0.4940451985132651,-0.9388750566033335,0
0.7224596923645075,-0.7821317513883713,0
0.9508741862157499,-0.7691406633261874,0
1.1792886800669924,-0.6141191112604538,0
1.4077031739182349,-0.6141191112604538,0
1.636117667769477,-0.5171659869087255,0
-1.7900997399991592,-0.9053717242324381,1
-1.5616852461479167,-0.7819900433102456,1
-1.3332707522966742,-0.647519705274708,1
-1.1048562584454318,-0.48355283077728256,1
-0.8764417645941894,-0.27392761350772,1
-0.648027270742947,-0.21176382233587884,1
-0.41961277689170456,-0.15321004445429276,1
-0.19119828304046216,0.040961906895649866,0
0.03721621081078026,0.36595521326939023,0
0.26563070466202265,0.47138956609694854,0
0.4940451985132651,0.8117546562453865,0
0.7224596923645075,1.0128029920863841,2
0.9508741862157499,1.0757532630918236,2
1.1792886800669924,1.394408675671387,2
1.4077031739182349,1.5042040946032673,2
1.636117667769477,1.7273695187377514,2
-1.7900997399991592,-1.1527302600049516,1
-1.5616852461479167,-1.040802134497278,1
-1.3332707522966742,-0.8388256107445561,1
-1.1048562584454318,-0.7470802582639514,1
-0.8764417645941894,-0.5967386154783229,1
-0.648027270742947,-0.42318873219763925,1
-0.41961277689170456,-0.33148943484242543,1
-0.19119828304046216,-0.16472028310006195,0
0.03721621081078026,-0.3034879186047647,0
0.26563070466202265,-0.01122209287418091,0
0.4940451985132651,0.20799676128449923,0
0.7224596923645075,0.30258690343347966,0
0.9508741862157499,0.3096333376182857,0
1.1792886800669924,0.36561157117993515,0
1.4077031739182349,0.6461191691280296,0
1.636117667769477,0.65239329428705,0
-1.7900997399991592,-1.2103523072728604,1
-1.5616852461479167,-1.072176302994333,1
